truth_condition,p,k,n_items,n_sims,seed,n_valid,n_invalid,auroc_median,auroc_p2.5,auroc_p97.5,minority_median,minority_rate_median,runtime_s,smoke,auroc_exact,exact_available
y=0,0.3,9,650,2000,2541181845,2000,0,0.82990506242258,0.7871022791891146,0.8670421973445823,64.0,0.09846153846153846,0.693,False,0.8286618538899233,True
y=0,0.3,15,650,2000,3824685826,2000,0,0.9055311268082653,0.8614816559681828,0.9380974715197307,32.0,0.04923076923076923,0.709,False,0.9036799930729086,True
y=0,0.35,3,650,2000,1656284198,2000,0,0.6161931232545691,0.5809184577210799,0.6485606652286365,183.0,0.2815384615384615,0.674,False,0.6150895140664963,True
y=0,0.35,5,650,2000,3828234262,2000,0,0.6765187105951975,0.6385565286072151,0.71458675065922,153.0,0.2353846153846154,0.685,False,0.6763827903421933,True
y=0,0.35,7,650,2000,1889985408,2000,0,0.7197690040909974,0.6787232035388886,0.7590051172959809,130.0,0.2,0.691,False,0.7200570476660219,True
y=0,0.35,9,650,2000,1109583166,2000,0,0.7539692948402514,0.7133342975115353,0.7929766712589624,112.0,0.1723076923076923,0.701,False,0.754304736490435,True
y=0,0.35,15,650,2000,486925236,2000,0,0.8284881386532865,0.7885975877295979,0.8656368113391423,74.0,0.11384615384615385,0.713,False,0.8266333634038778,True
y=0,0.4,3,650,2000,770331525,2000,0,0.5759415608212397,0.5410052021007925,0.6092743179252379,229.0,0.3523076923076923,0.676,False,0.5757575757575757,True
y=0,0.4,5,650,2000,417888495,2000,0,0.6179860533784145,0.5786590014208055,0.6557746934779223,206.0,0.3169230769230769,0.689,False,0.6173948550428745,True
y=0,0.4,7,650,2000,94089389,2000,0,0.6476853670462268,0.6085813956871635,0.685806491555729,189.0,0.2907692307692308,0.692,False,0.6480668540919757,True
y=0,0.4,9,650,2000,3837838042,2000,0,0.6732428746161608,0.6321135534909185,0.7126822916039381,173.0,0.26615384615384613,0.701,False,0.6729615224010846,True
y=0,0.4,15,650,2000,2579614848,2000,0,0.7301066942139444,0.6864327795794375,0.7688188900280973,138.0,0.2123076923076923,0.721,False,0.7292627313089549,True
y=0,0.45,3,650,2000,1403417085,2000,0,0.5373893873081379,0.504705114070034,0.5712851752899758,277.0,0.42615384615384616,0.677,False,0.537593984962406,True
y=0,0.45,5,650,2000,694974042,2000,0,0.5585546248001919,0.5199486842814048,0.5951120780835241,264.0,0.40615384615384614,0.688,False,0.5586217565638305,True
y=0,0.45,7,650,2000,2634877734,2000,0,0.5745640703634878,0.534768759182371,0.6132715739101542,255.0,0.3923076923076923,0.693,False,0.574397657331827,True
y=0,0.45,9,650,2000,1711449518,2000,0,0.5876898667745133,0.547771915947848,0.627940392351026,246.0,0.37846153846153846,0.708,False,0.5874436175786502,True
y=0,0.45,15,650,2000,3617644090,2000,0,0.6173623502974244,0.5746047544662299,0.6591243771168692,225.0,0.34615384615384615,0.726,False,0.6180542488694474,True
y=0,0.5,3,650,2000,999906030,2000,0,0.5004458816746552,0.46591116606094435,0.5331386076846605,316.0,0.48615384615384616,0.679,False,0.49999999999999994,True
y=0,0.5,5,650,2000,4142018137,2000,0,0.500061588533306,0.4618143477837999,0.5381453492272014,316.0,0.48615384615384616,0.688,False,0.5,True
y=0,0.5,7,650,2000,4103232926,2000,0,0.5004805932459244,0.4578437358144899,0.5386897561869489,316.0,0.48615384615384616,0.697,False,0.49999999999999994,True
y=0,0.5,9,650,2000,3853210330,2000,0,0.5007267373045858,0.4583468553212185,0.5404945010008751,317.0,0.4876923076923077,0.708,False,0.5,True
y=0,0.5,15,650,2000,1012052667,2000,0,0.5004693400339906,0.45749027150317384,0.539478357873503,316.0,0.48615384615384616,0.73,False,0.5000000000000003,True
y=0,0.55,3,650,2000,1487850604,2000,0,0.46214168480507106,0.42825529303237847,0.49435967924620666,276.0,0.4246153846153846,0.677,False,0.46240601503759404,True
y=0,0.55,5,650,2000,2887525682,2000,0,0.44153034562651117,0.40557354635247966,0.4784978771059812,264.0,0.40615384615384614,0.688,False,0.4413782434361694,True
y=0,0.55,7,650,2000,3396441548,2000,0,0.4257917838614449,0.387279043527277,0.46524163021032405,254.0,0.39076923076923076,0.697,False,0.42560234266817276,True
y=0,0.55,9,650,2000,480682751,2000,0,0.41330207983385764,0.37146913452686176,0.45327189529166745,246.0,0.37846153846153846,0.707,False,0.41255638242135007,True
y=0,0.55,15,650,2000,1727450761,2000,0,0.38200104284529185,0.3418672097241974,0.42384365451445893,225.0,0.34615384615384615,0.725,False,0.38194575113055307,True
